DATE_TIME,current_contract,next_contract,carry_contract
2025-05-28 23:00:00,20250500,20250600,20250600
2025-06-19 23:00:00,20250600,20250700,20250700
2025-07-18 23:00:00,20250700,20250800,20250800
2025-08-19 23:00:00,20250800,20250900,20250900
2025-09-19 23:00:00,20250900,20251000,20251000
2025-10-20 23:00:00,20251000,20251100,20251100
2025-11-19 23:00:00,20251100,20251200,20251200
2025-12-19 23:00:00,20251200,20260100,20260100
2026-01-19 23:00:00,20260100,20260200,20260200
2026-02-20 23:00:00,20260200,20260300,20260300
2026-03-19 23:00:00,20260300,20260400,20260400
2026-04-20 23:00:00,20260400,20260500,20260500
2026-05-19 09:15:00,20260500,20260600,20260600
2026-05-27 09:15:00,20260600,20260900,20260900
